-000.015;
-000.007;011.684;
-000.007;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.003;011.684;
-000.003;011.684;
-000.003;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.003;011.684;
-000.003;011.684;
-000.003;011.684;
-000.004;011.684;
-000.003;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
-000.004;011.684;
